Name,Custodian,Caption,Description,Data type,Purpose,Attribution,Source Link,Citation,Institution,Image Link,Longitude,Latitude,Date,Title,Text Box,Gravatar,Tag One,Tag Two,Tag Three,Tag Four,SubTitle1,SubText1,SubTitle2,SubText2,SubTitle3,SubText3
Page Title,Lisa,,Text.  First line of copy for the War Memorial site. Use Heading 1 style,Text,Web page content,,,,GitHub,,,,,The General William Jenkins Worth Monument,The General William Jenkins Worth Monument,https://mappingcemeteries.commons.gc.cuny.edu/wp-content/blogs.dir/16656/files/2021/04/War_Memorial_Swords_Shields_64x64.png,War,,,,,,,,,
Worth Memorial Wide 300x300,Lisa,"Worth Square, as seen from Madison Park, taken by the author in March 2021.",Digital color photo: a long shot of the north side of the Worth monument as seen from Madison Park.,Photo,Web page content,"Worth Square, as seen from Madison Park. Photo taken by Lisa Kofod in March 2021. ",https://mappingcemeteries.commons.gc.cuny.edu/worth-memorial-wide-300x300/,"Worth Square, as seen from Madison Park. Photo taken by Lisa Kofod in March 2021. ",CUNY Commons,https://mappingcemeteries.commons.gc.cuny.edu/wp-content/blogs.dir/16656/files/2021/05/WorthMemorial_Wide_300x300.jpg,-73.989238,40.7277,3/1/2021,Introduction,,https://mappingcemeteries.commons.gc.cuny.edu/wp-content/blogs.dir/16656/files/2021/04/War_Memorial_Swords_Shields_64x64.png,War,,,,Welcome,"Welcome to the General William Jenkins Worth Monument.  Located in Manhattan at the intersections of Broadway,
Fifth Avenue and 25th Street, I was drawn to this site because I
have lived and worked within walking distance of it for thirty-plus years but
discovered (as part of our team’s initial research) that it is one of only two
public memorials in New York City that contain the actual remains of the
person.  [The second is President Grant’s
Tomb in upper Manhattan.]  ",,"Having ignored the site for so long, I spent an afternoon watching it and noticed that ignoring the monument was the dominant behavior of almost all the people who passed by.  ",,That experience led me to ask why? What was it about the site made it almost disappear into the streetscape? And why had the memory of the man himself seemingly faded from common knowledge?
WorthMemorial_Long_300x300.jpg,Lisa,"Kofod, Lisa. WorthMemorial_Long_300x300 – Making Mapping Cemeteries. 23 Feb. 2021, https://mappingcemeteries.commons.gc.cuny.edu/worthmemorial_long_300x300/.","Color photo, front view of the monument",Photo,Web page content,"Kofod, Lisa. Worth Memorial. 23 February 2021",https://mappingcemeteries.commons.gc.cuny.edu/worthmemorial_long_300x300/,"Britannica, The Editors of Encyclopaedia. ""Arch of Constantine"". Encyclopedia Britannica, https://www.britannica.com/topic/Arch-of-Constantine. ",CUNY Commons,https://mappingcemeteries.commons.gc.cuny.edu/files/2021/05/WorthMemorial_Long_300x300.jpg,-73.989238,40.7277,2/23/2021,,,https://mappingcemeteries.commons.gc.cuny.edu/wp-content/blogs.dir/16656/files/2021/04/War_Memorial_Swords_Shields_64x64.png,War,Park,,,What Are Memorials?,"Memorials in general, and war memorials in particular, are highly social publicly-curated creations that endeavor to fix in time a way of thinking about a person or event.  War memorials are both a way to commemorate a conflict and a way to remember the people involved in that conflict.  ",,"In modern times, they often emphasize the common person who served and died as a result of the conflict; consider the Vietnam Memorial in Washington, DC [https://www.nps.gov/vive/index.htm] with its V-shaped black granite wall that lists the names of the dead.  But in ancient times, these memorials were more likely to be victory celebrations around successful military campaigns; consider the Arch of Constantine in Rome [https://www.thebyzantinelegacy.com/constantine-arch], which was built in 312 A.D. to commemorate that Roman emperor’s victory “over Maxentius at the Milvian Bridge in 312 as well as to celebrate his decennalia” (Britannica).  ",,"The Worth Memorial is meant to remember the man
but is dominated by the names of places where he fought, and these places are directly
tied to the expansion of the United States into Florida and Mexico in the mid-1800."
WJW Engraving by Phillibrown 300x300.jp,Lisa,"A steel engraving by Phillibrown of General William Jenkins Worth after a painting by Chappel, c1859.            ",,Photo,Web page content,LoC,https://mappingcemeteries.commons.gc.cuny.edu/william-jenkins-worth-1794-1849/,"William Jenkins Worth, -1849. Photograph. Retrieved from the Library of Congress, https://lccn.loc.gov/2002699611",CUNY Commons,https://mappingcemeteries.commons.gc.cuny.edu/wp-content/blogs.dir/16656/files/2021/05/WJW-Engraving-by-Phillibrown-300x300-1.jpg,,,1844,About General William Jenkins Worth - A Brief Biography,"William Jenkins Worth was born in Hudson, New York on March 1st, 1794.  He spent his entire adult life serving in the U.S. Army, rising by battle commission until he reached the highest rank of Major General.  He served as Commandant of Cadets at West Point, distinguished himself in the War of 1812, the war against the Seminole nation, and the war against Mexico.  While serving as the Army Commander of the Department of Texas, he succumbed to Cholera on May 7th, 1849.",https://mappingcemeteries.commons.gc.cuny.edu/wp-content/blogs.dir/16656/files/2021/04/War_Memorial_Swords_Shields_64x64.png,War,Biography,Disease,,,,,,,
Battle of Monterey by Currier,Lisa,Battle of Monterey - The Americans forcing their way to the main plaza on Sept. 23th 1846,,Photo,Web page content,LoC,https://mappingcemeteries.commons.gc.cuny.edu/battle-of-monterey-by-currier/,"Currier and Ives : a catalogue raisonné / compiled by Gale Research. Detroit, MI : Gale Research, c1983, no. 0463 
Citation: Battle of Monterey--The Americans Forcing Their Way to the Main Plaza Sept. 23th 1846. 1846.
https://lccn.loc.gov/90709071",CUNY Commons,https://mappingcemeteries.commons.gc.cuny.edu/wp-content/blogs.dir/16656/files/2021/05/BattleOfMonteret-300x300-1.jpg,,,1846,Mexican War of 1846-1848,,https://mappingcemeteries.commons.gc.cuny.edu/wp-content/blogs.dir/16656/files/2021/04/War_Memorial_Swords_Shields_64x64.png,War,Biography,,,,"Worth’s victories in the Mexican War of 1846-1848 made him famous during his lifetime. 
In 1845, President James Polk ordered Brevet Brigadier General Zachary Taylor to defend the Texas territories against threats from Mexico.  General Worth soon joined him.",,"Worth commanded at the Battle of Monterey, and he is credited as being the first American to make an amphibious landing, when he jumped from his boat during the attack on Veracruz.  When Mexico City fell, Worth climbed to the top of the National Palace and replaced the Mexican flag with the Stars and Stripes.",,"Handsome, a superb horseman, and consider by many to be one of the most brilliant officers in the army, had Worth lived, his exploits might have propelled him as a presidential candidate on the Democratic ticket in 1852. "
HastyBowlOfSoup300x300,Lisa,Political satire from 1846: Distinguished military operations with a hasty bowl of soup.,,Cartoon,Web page content,LoC,https://mappingcemeteries.commons.gc.cuny.edu/hastybowlofsoup300x300/,"Clay, Edward Williams. Distinguished Military Operations with a Hasty Bowl of Soup. 1846, https://lccn.loc.gov/2008661471.  

Wallace, Edward S. “General William Jenkins Worth and Texas.” The Southwestern Historical Quarterly, vol. 54, no. 2,
1950, pp. 159–168. JSTOR, www.jstor.org/stable/30241861",CUNY Commons,https://mappingcemeteries.commons.gc.cuny.edu/wp-content/blogs.dir/16656/files/2021/05/HastyBowlOfSoup300x300.jpg,,,1846,Competition in the Ranks,,https://mappingcemeteries.commons.gc.cuny.edu/wp-content/blogs.dir/16656/files/2021/04/War_Memorial_Swords_Shields_64x64.png,War,Biography,Disease,,,"The battle of Monterey was the high-water mark of his military career.  After Monterey,
Worth was transferred from General Zachary Taylor’s command to that of General Winfield
Scott.  Scott craved the limelight, leading to conflict with his subordinates.  A contemporary satire casts Scott as squelching
the ambition of Zachary Taylor, following his successes, by dumping a bowl of soup on Taylor’s head. ",,"Worth and other officers sided with Taylor, leading
to “a rancorous quarrel …Charges were preferred …This quarrel broke up a long friendship between Worth and Scott” (Wallace).  In late 1848, Scott to assign him to the command of the Military Departments of Texas and New Mexico.  This was a de facto political exile. ",,"In early 1849, his old regiment, the 8th Infantry, arrived at San Antonio and they brought cholera. Worth succumbed to the deadly bacterium in May."
American Progress by Crofutt 300x300,Lisa,"American Progress or Westward the course of destiny by Geroge Crofutt, c1873",,Photo,Web page content,LoC,https://mappingcemeteries.commons.gc.cuny.edu/american-progress-by-crofutt/,"Crofutt, George A. American Progress. 1873, https://www.loc.gov/pictures/resource/cph.3b49232.",CUNY Commons,https://mappingcemeteries.commons.gc.cuny.edu/wp-content/blogs.dir/16656/files/2021/05/AmericanProgress-Crofutt-300x300-1.jpg,,,1873,Manifest Destiny,"This was the era that was defined by ""Manifest Destiny"", a belief that the United States was destined to expand its dominion across the continent.  Worth was a champion of that mindset.  What follows is an excerpt from a letter he wrote to William Learned Marcy, then the U.S. Secretary of War, following the capture of Mexico City in 1847:",https://mappingcemeteries.commons.gc.cuny.edu/wp-content/blogs.dir/16656/files/2021/04/War_Memorial_Swords_Shields_64x64.png,War,Quotes,Expansion,,,"""That our race is finally destined to overrun this whole continent is too obvious to need proof. Like an axiom in
mathematics, it is only necessary to state the proposition to ensure belief: 
and we may state it thus: 
",,"Put two distinct races in juxtaposition, one more  powerful and superior in civilization, and it will absorb the inferior.  

The most that can be said in opposition to this is that we are somewhat premature, perhaps half a century.  But what is half a century in the affairs of a nation like ours, thoroughly imbued with the progressive spirit. A mere point, which, like a point in mathematics, should not enter into the solution of the great problem.""",,Worth was prescient.  Over the course of the nineteenth century the country known as the United State of America expanded beyond its original colonial footprint to span the continent.
Our Infant Industries PUCK 300x300,Lisa,"Illustration showing a gigantic Andrew Carnegie standing between two large pumps, one labeled ""Protective tariff"" representing the Treasury building and the other labeled ""Legitimate business"" representing his factory buildings, ",,Photo,Web page content,LoC,https://mappingcemeteries.commons.gc.cuny.edu/our-infant-industries-puck-300x300/,"Citation: Keppler, Udo J. Our “Infant” Industries -- Why Can’t They Be Content with the Half They Make Honestly? 1900.
https://lccn.loc.gov/2010651249",CUNY Commons,https://mappingcemeteries.commons.gc.cuny.edu/wp-content/blogs.dir/16656/files/2021/05/Our-Infant-Industries-PUCK-300x300-1.jpg,,,1900,Gilded Age,"The powerbrokers of New York City's Gilded Age were drivers of this expansion. For example,",https://mappingcemeteries.commons.gc.cuny.edu/wp-content/blogs.dir/16656/files/2021/04/War_Memorial_Swords_Shields_64x64.png,War,Expansion,Money,,,"· The financier John Pierpont Morgan drove industrial consolidation, 
· Andrew Carnegie led the expansion of the steel industry,
· Cornelius Vanderbilt built railroad and shipping lines that transformed the geography of the continent, 
· John D. Rockefeller revolutionized the petroleum industry,
",,And they all lived within shooting distance of Madison Square when Worth died.,,"A nuanced and mindful examination of Manifest Destiny, American Exceptionalism, and their dark legacies is beyond the scope of this endeavor.  However, this proposition seems obvious: The military actions of soldiers like Worth made the fortunes of the Gilded Age possible.  And by memorializing this man, the powers were writing history the way they desired it to be remembered.  "
MonumentReport CommonCouncil Cover 300x300,Lisa,Image of the title page of the New York Common Council report on the creation of the Worth monument. ,,Photo,Web page content,GoogleBooks,https://mappingcemeteries.commons.gc.cuny.edu/monumentreport-commoncouncil-cover-300x300/,"Reports on the erection of a monument to the memory of William Jenkins Worth, late Major-General of the United States Army by the Special Committees appointed by the Common Council of the City of New York.  New York (N.Y.). Common Council. New York : C.W. Baker, printer, 1857.",CUNY Commons,https://mappingcemeteries.commons.gc.cuny.edu/wp-content/blogs.dir/16656/files/2021/05/MonumentReport-CommonCouncil-Cover-300x300-1.jpg,,,1857,Preparations,,https://mappingcemeteries.commons.gc.cuny.edu/wp-content/blogs.dir/16656/files/2021/04/War_Memorial_Swords_Shields_64x64.png,War,Reinterment,,,,My research did not uncover who championed the memorial behind the scenes.  The official recommendation came from the Board of Aldermen of the Common Council... what we would now call the City Council ...and was passed by unanimous consent in 1848.,,"It took years to plan and build the monument (much to the consternation of the General’s family).  During this time, the General's remains layin a vault at Green-wood cemetery in Brooklyn. ",,
Ceremonies of dedication 300x300,Lisa,"The November 25th, 1857 Ceremonies of the dedication of the Worth Monument.",,Photo,Web page content,NYPL,https://mappingcemeteries.commons.gc.cuny.edu/ceremonies-of-dedication-300x300/,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Print Collection, The New York Public Library. ""Ceremonies of dedication of the Worth Monument. (Nov. 25, 1857)"" The New York Public Library Digital Collections. 1857-11-25 - 1899. https://digitalcollections.nypl.org/items/5e66b3e8-95e7-d471-e040-e00a180654d7",CUNY Commons,https://mappingcemeteries.commons.gc.cuny.edu/wp-content/blogs.dir/16656/files/2021/05/Ceremonies-of-dedication-300x300-1.jpg,,,1857,The Dedication Ceremony,"When the laying-in ceremony took place, on November 25th, 1857, the entire city turned out.  The funeral procession started at City Hall,
where Worth had lain in state.  The governor of New York led four brigades of militia, in full dress uniform, up Broadway and then Fifth Avenue. ",https://mappingcemeteries.commons.gc.cuny.edu/wp-content/blogs.dir/16656/files/2021/04/War_Memorial_Swords_Shields_64x64.png,War,Reinterment,,,,"Each brigade consisted of four regiments of infantry, cavalry, and light artillery, with one brass band to each
regiment.  [Yes, sixteen brass bands!]  Then came the General’s horse, in its battle gear, led riderless.  Finally, the
carriage with the general’s casket, which was drawn by four black stallions in silvered harness.  ",,"Immediately behind were twenty carriages carrying the general’s family and friends, and assorted Tammany Society politicians.  And then came the common folks and retired soldiers, many of whom had served under Worth’s command.",,"The day was biting cold.  When the procession made its way to the actual monument, the crowd was dispersed save for 71st Regiment.  Various relics in a copper box were placed in the cornerstone, along with the remains of the man himself.  The observances concluded with a Masonic ritual and the firing of three volleys by the 71st."
