Name,Custodian,Caption,Description,Data type,Purpose,Attribution,Source Link,Citation,Institution,Image Link,Longitude,Latitude,Date,Title,Text Box,Gravatar,Tag One,Tag Two,Tag Three,Tag Four,SubTitle1,SubText1,SubTitle2,SubText2,SubTitle3,SubText3
1625 First Slaves,Bri,1625: First slaves were brought to New Amsterdam,Date that the Dutch West India Company first brings slaves to what is now New York City,Text,Horizontal timeline marker,,https://www.nps.gov/afbg/learn/historyculture/african-burial-ground-in-history.htm,"Moore, Christopher. “African Burial Ground in History.” African Burial Ground National Monument.",National Park Service,,,,1625,,,,Event,African,,,,,,,,
1635 African Burial Ground is Active,lane,1635: African Burial Ground was first active,Estimated date when free and enslaved African descendents begin burying their dead in an area outside city limits due to laws prohibiting them from burying in what was then the city's primary cemetery,Text,Horizontal timeline marker,,https://www.nps.gov/afbg/learn/historyculture/african-burial-ground-in-history.htm,"Moore, Christopher. “African Burial Ground in History.” African Burial Ground National Monument.",National Park Service,,,,1635,,,,African,Hidden,,,,,,,,
1653 Slaves ordered to build Wall Street fortification,lane,1653: Governor Peter Stuyvesant ordered slaves to help build Wall Street fortification,Date that Govenor Peter Stuyvesant orders slaves to assist in the construction of Wall Street fortification,Text,Horizontal timeline marker,,https://www.nps.gov/afbg/learn/historyculture/african-burial-ground-in-history.htm,"Moore, Christopher. “African Burial Ground in History.” African Burial Ground National Monument.",National Park Service,,,,1653,,,,African,Hidden,,,,,,,,
1664 New Amsterdam becomes New York,Bri,1664: New Amsterdam became New York,Date that New Amsterdam becomes New York,Text,Horizontal timeline marker,,https://www.history.com/this-day-in-history/new-amsterdam-becomes-new-york,"History.com Editors. “New Amsterdam Becomes New York.” HISTORY, 2 Sept. 2020.",History Channel,,,,1664,,,,Event,,,,,,,,,
1673 Van Borsum family takes control of African Burial Ground plot,lane,1673: Van Borsum family took control of plot with restrictions,"Date that the burial ground plot is taken under ownership of Van Borsum family, who allow burials but also place restrictions on them—when to bury, how many can attend—in addition to slaves needing written permission to travel to the site from where they were housed
",Text,Horizontal timeline marker,,https://www.nps.gov/afbg/learn/historyculture/african-burial-ground-in-history.htm,"Moore, Christopher. “African Burial Ground in History.” African Burial Ground National Monument.",National Park Service,,,,1673,,,,African,Hidden,,,,,,,,
1692 Beginning of Commons,Bri,1692: The Commons recorded to be in use,Date of when the Commons is earliest in use,Text,Horizontal timeline marker,,http://s-media.nyc.gov/agencies/lpc/arch_reports/1555.pdf,"Chrysalis Archaeology and URS Corporation. City Hall Rehabilitation Archaeology Project 2010-2011 Volume 1. Edited by Alyssa Loorya and Christopher Ricciardi, June 2013.",City Hall Rehabilitation Archaeology Project 2010-2011,,,,1692,,,,Infrastructure,Park,,,,,,,,
1735 First Almshouse Built,Bri,1735: First Almshouse was built and used until 1797; demolished for construction of City Hall,Date of the First Almshouse,Text,Horizontal timeline marker,,http://s-media.nyc.gov/agencies/lpc/arch_reports/1556.pdf,"Chrysalis Archaeology and URS Corporation. City Hall Rehabilitation Archaeology Project 2010-2011 Volume 2. Edited by Alyssa Loorya and Christopher Ricciardi, June 2013.",City Hall Rehabilitation Archaeology Project 2010-2011,,,,1735,,,,Infrastructure,Park,,,,,,,,
1741 Conspiracy,Bri,1741: Conspiracy of 1741,Date of a grave abuse of power by the local government and judiciary,Text,Horizontal timeline marker,,https://www.blackpast.org/african-american-history/new-york-slave-conspiracy-1741/ AND https://www.pbs.org/wgbh/aia/part1/1p286.html,"Sutherland, Claudia. “New York Slave Conspiracy (1741).” BlackPast.org, 6 Mar. 2007. ~ PBS. “Witchhunt in New York: The 1741 Rebellion.” Africans in America.",BlackPast.org and PBS,,,,1741,,,,Event,,,,,,,,,
1757 Barracks Built,Bri,1757: Barracks were built on the Commons for the British Army,"Date barracks are built on the Commons for the British Army, who arrived en masse in 1756 and were being quartered in people's houses until the Common Council approved building barracks",Text,Horizontal timeline marker,,http://s-media.nyc.gov/agencies/lpc/arch_reports/1556.pdf,"Chrysalis Archaeology and URS Corporation. City Hall Rehabilitation Archaeology Project 2010-2011 Volume 2. Edited by Alyssa Loorya and Christopher Ricciardi, June 2013.",City Hall Rehabilitation Archaeology Project 2010-2011,,,,1757,,,,Infrastructure,Park,,,,,,,,
1759 New Gaol Built,Bri,1759: New Gaol was built on the Commons as debtor's prison; also held prisoners of war during French and Indian War,Date New Goal is built on the Commons as well as its purposes,Text,Horizontal timeline marker,,http://s-media.nyc.gov/agencies/lpc/arch_reports/1556.pdf,"Chrysalis Archaeology and URS Corporation. City Hall Rehabilitation Archaeology Project 2010-2011 Volume 2. Edited by Alyssa Loorya and Christopher Ricciardi, June 2013.",City Hall Rehabilitation Archaeology Project 2010-2011,,,,1759,,,,Infrastructure,Park,,,,,,,,
